Data Series Information,,,,,,,,
Name:,,,gelan0.5%_AS_20°C 1,,,,,
,,,,,,,,
Meas. Pts.,Strain,Shear Stress,Storage Modulus,Loss Modulus,Damping Factor,Deflection Angle,Torque,Status
,[%],[Pa],[Pa],[Pa],[1],[mrad],[µNm],[]
1,0.01,4.84E-04,2.77E+00,3.97E+00,1.43,0.004,0.0118,"M- ,DSO"
2,0.0158,7.44E-04,2.54E+00,3.95E+00,1.56,0.00635,0.0182,"M- ,DSO"
3,0.0251,1.17E-03,2.61E+00,3.88E+00,1.49,0.0101,0.0287,DSO
4,0.0398,1.89E-03,2.52E+00,4.01E+00,1.59,0.0159,0.0461,DSO
5,0.0631,2.96E-03,2.51E+00,3.97E+00,1.58,0.0253,0.0725,DSO
6,0.1,4.70E-03,2.52E+00,3.97E+00,1.58,0.04,0.115,DSO
7,0.158,7.48E-03,2.56E+00,3.97E+00,1.55,0.0635,0.183,DSO
8,0.251,1.19E-02,2.58E+00,3.96E+00,1.53,0.101,0.29,DSO
9,0.398,1.88E-02,2.59E+00,3.95E+00,1.52,0.159,0.461,DSO
10,0.631,2.98E-02,2.60E+00,3.95E+00,1.52,0.253,0.73,DSO
11,1,4.74E-02,2.63E+00,3.94E+00,1.5,0.4,1.16,DSO
12,1.58,7.53E-02,2.66E+00,3.94E+00,1.48,0.635,1.84,DSO
13,2.51,1.19E-01,2.68E+00,3.93E+00,1.46,1.01,2.92,DSO
14,3.98,1.89E-01,2.68E+00,3.93E+00,1.46,1.59,4.63,DSO
15,6.31,3.00E-01,2.69E+00,3.93E+00,1.46,2.53,7.35,DSO
16,10,4.76E-01,2.69E+00,3.93E+00,1.46,4,11.6,DSO
17,15.8,7.53E-01,2.68E+00,3.92E+00,1.46,6.35,18.4,DSO
18,25.1,1.19E+00,2.66E+00,3.91E+00,1.47,10.1,29.1,DSO
19,39.8,1.87E+00,2.61E+00,3.90E+00,1.49,15.9,45.7,DSO
20,63.1,2.90E+00,2.50E+00,3.86E+00,1.55,25.3,70.9,DSO
21,100,4.39E+00,2.25E+00,3.77E+00,1.68,40,107,DSO
