Data Series Information,,,,,,,,
Name:,,,gelan1%_AS_20°C 1,,,,,
,,,,,,,,
Meas. Pts.,Strain,Shear Stress,Storage Modulus,Loss Modulus,Damping Factor,Deflection Angle,Torque,Status
,[%],[Pa],[Pa],[Pa],[1],[mrad],[µNm],[]
1,0.00998,4.61E-03,4.17E+01,1.99E+01,0.477,0.004,0.113,DSO
2,0.0158,7.48E-03,4.22E+01,2.13E+01,0.505,0.00634,0.183,DSO
3,0.0251,1.19E-02,4.25E+01,2.12E+01,0.498,0.0101,0.292,DSO
4,0.0398,1.89E-02,4.25E+01,2.12E+01,0.498,0.0159,0.462,DSO
5,0.0631,3.01E-02,4.26E+01,2.13E+01,0.499,0.0253,0.735,DSO
6,0.1,4.76E-02,4.26E+01,2.13E+01,0.498,0.04,1.17,DSO
7,0.158,7.56E-02,4.27E+01,2.13E+01,0.499,0.0635,1.85,DSO
8,0.251,1.20E-01,4.27E+01,2.13E+01,0.498,0.101,2.93,DSO
9,0.398,1.90E-01,4.28E+01,2.13E+01,0.498,0.159,4.65,DSO
10,0.631,3.01E-01,4.28E+01,2.13E+01,0.498,0.253,7.37,DSO
11,1,4.77E-01,4.27E+01,2.13E+01,0.499,0.4,11.7,DSO
12,1.58,7.54E-01,4.26E+01,2.13E+01,0.5,0.635,18.4,DSO
13,2.51,1.19E+00,4.21E+01,2.13E+01,0.505,1.01,29,DSO
14,3.98,1.86E+00,4.14E+01,2.14E+01,0.516,1.59,45.4,DSO
15,6.31,2.87E+00,4.00E+01,2.15E+01,0.537,2.53,70.1,DSO
16,10,4.36E+00,3.79E+01,2.15E+01,0.568,4,107,DSO
17,15.8,6.47E+00,3.50E+01,2.11E+01,0.603,6.35,158,DSO
18,25.1,9.32E+00,3.12E+01,2.01E+01,0.645,10.1,228,DSO
19,39.8,1.28E+01,2.63E+01,1.86E+01,0.708,15.9,314,DSO
20,63.1,1.66E+01,2.05E+01,1.65E+01,0.805,25.3,407,DSO
21,100,2.03E+01,1.46E+01,1.41E+01,0.962,40,496,DSO
