Data Series Information,,,,,,,,
Name:,,,X1%_AS_30°C 1,,,,,
,,,,,,,,
Meas. Pts.,Strain,Shear Stress,Storage Modulus,Loss Modulus,Damping Factor,Deflection Angle,Torque,Status
,[%],[Pa],[Pa],[Pa],[1],[mrad],[µNm],[]
1,0.01,3.15E-03,3.03E+01,8.71E+00,0.287,0.004,0.0771,DSO
2,0.0158,4.97E-03,3.03E+01,8.16E+00,0.269,0.00634,0.122,DSO
3,0.0251,7.96E-03,3.05E+01,8.74E+00,0.287,0.0101,0.195,DSO
4,0.0398,1.26E-02,3.04E+01,8.76E+00,0.288,0.0159,0.308,DSO
5,0.0631,2.00E-02,3.05E+01,8.74E+00,0.287,0.0253,0.489,DSO
6,0.1,3.17E-02,3.05E+01,8.75E+00,0.287,0.04,0.775,DSO
7,0.158,5.03E-02,3.05E+01,8.72E+00,0.286,0.0635,1.23,DSO
8,0.251,7.97E-02,3.05E+01,8.74E+00,0.286,0.101,1.95,DSO
9,0.398,1.26E-01,3.06E+01,8.75E+00,0.286,0.159,3.09,DSO
10,0.631,2.01E-01,3.06E+01,8.75E+00,0.286,0.253,4.91,DSO
11,1,3.18E-01,3.06E+01,8.75E+00,0.286,0.4,7.78,DSO
12,1.58,5.04E-01,3.06E+01,8.74E+00,0.286,0.635,12.3,DSO
13,2.51,7.99E-01,3.06E+01,8.72E+00,0.285,1.01,19.5,DSO
14,3.98,1.27E+00,3.06E+01,8.74E+00,0.286,1.59,31,DSO
15,6.31,2.00E+00,3.05E+01,8.74E+00,0.286,2.53,49,DSO
16,10,3.16E+00,3.03E+01,8.75E+00,0.289,4,77.2,DSO
17,15.8,4.93E+00,2.99E+01,8.77E+00,0.294,6.35,121,DSO
18,25.1,7.57E+00,2.88E+01,8.82E+00,0.306,10.1,185,DSO
19,39.8,1.11E+01,2.63E+01,9.14E+00,0.347,15.9,272,DSO
20,63.1,1.45E+01,2.06E+01,1.01E+01,0.491,25.3,355,DSO
21,100,1.64E+01,1.27E+01,1.03E+01,0.814,40.1,400,DSO
