Data Series Information,,,,,
Name:,,,"Gelan0,7%_20C_CR 2",,
,,,,,
Meas. Pts.,Time,Shear Stress,Strain,Creep Compliance,Torque
,[s],[Pa],[1],[1/Pa],[µNm]
1,0.5,0.03,0.0094,0.313,0.734
2,1.03,0.03,0.0156,0.52,0.734
3,1.6,0.03,0.0198,0.661,0.734
4,2.2,0.03,0.0239,0.797,0.734
5,2.84,0.03,0.0277,0.922,0.734
6,3.52,0.03,0.0312,1.04,0.734
7,4.24,0.03,0.0346,1.15,0.734
8,5,0.03,0.0379,1.26,0.734
9,5.82,0.03,0.0412,1.37,0.734
10,6.69,0.03,0.0444,1.48,0.734
11,7.61,0.03,0.0476,1.59,0.734
12,8.59,0.03,0.0508,1.69,0.734
13,9.63,0.03,0.054,1.8,0.734
14,10.7,0.03,0.0572,1.91,0.734
15,11.9,0.03,0.0604,2.01,0.734
16,13.2,0.03,0.0638,2.13,0.734
17,14.5,0.03,0.067,2.23,0.734
18,15.9,0.03,0.0704,2.35,0.734
19,17.4,0.03,0.0737,2.46,0.734
20,19,0.03,0.0771,2.57,0.734
21,20.7,0.03,0.0805,2.68,0.734
22,22.5,0.03,0.084,2.8,0.734
23,24.4,0.03,0.0876,2.92,0.734
24,26.5,0.03,0.0912,3.04,0.734
25,28.6,0.03,0.0948,3.16,0.734
26,30.9,0.03,0.0985,3.28,0.734
27,33.4,0.03,0.102,3.41,0.734
28,36,0.03,0.106,3.54,0.734
29,38.8,0.03,0.11,3.67,0.734
30,41.7,0.03,0.114,3.8,0.734
31,44.8,0.03,0.118,3.94,0.734
32,48.2,0.03,0.122,4.08,0.734
33,51.7,0.03,0.127,4.22,0.734
34,55.5,0.03,0.131,4.37,0.734
35,59.5,0.03,0.135,4.51,0.734
36,63.7,0.03,0.14,4.66,0.734
37,68.2,0.03,0.145,4.82,0.734
38,73,0.03,0.149,4.98,0.734
39,78.1,0.03,0.154,5.13,0.734
40,83.6,0.03,0.159,5.3,0.734
41,89.3,0.03,0.164,5.47,0.734
42,95.5,0.03,0.169,5.64,0.734
43,102,0.03,0.174,5.81,0.734
44,109,0.03,0.18,5.99,0.734
45,116,0.03,0.185,6.18,0.734
46,124,0.03,0.191,6.37,0.734
47,132,0.03,0.197,6.57,0.734
48,141,0.03,0.203,6.77,0.734
49,151,0.03,0.209,6.97,0.734
50,161,0.03,0.215,7.18,0.734
1,161,0,0.206,0,0
2,162,0,0.199,0,0
3,162,0,0.195,0,0
4,163,0,0.191,0,0
5,164,0,0.187,0,0
6,164,0,0.184,0,0
7,165,0,0.18,0,0
8,166,0,0.177,0,0
9,167,0,0.174,0,0
10,167,0,0.171,0,0
11,168,0,0.168,0,0
12,169,0,0.165,0,0
13,170,0,0.162,0,0
14,171,0,0.159,0,0
15,173,0,0.156,0,0
16,174,0,0.154,0,0
17,175,0,0.151,0,0
18,177,0,0.148,0,0
19,178,0,0.145,0,0
20,180,0,0.142,0,0
21,181,0,0.139,0,0
22,183,0,0.136,0,0
23,185,0,0.133,0,0
24,187,0,0.13,0,0
25,189,0,0.127,0,0
26,192,0,0.125,0,0
27,194,0,0.122,0,0
28,197,0,0.119,0,0
29,199,0,0.116,0,0
30,202,0,0.113,0,0
31,206,0,0.11,0,0
32,209,0,0.107,0,0
33,212,0,0.104,0,0
34,216,0,0.101,0,0
35,220,0,0.0976,0,0
36,224,0,0.0945,0,0
37,229,0,0.0915,0,0
38,234,0,0.0884,0,0
39,239,0,0.0854,0,0
40,244,0,0.0823,0,0
41,250,0,0.0792,0,0
42,256,0,0.0763,0,0
43,263,0,0.0732,0,0
44,270,0,0.0702,0,0
45,277,0,0.0672,0,0
46,285,0,0.0642,0,0
47,293,0,0.0611,0,0
48,302,0,0.0579,0,0
49,311,0,0.0549,0,0
50,321,0,0.0518,0,0
