Data Series Information,,,,,
Name:,,,X1%_20C_CR 1,,
,,,,,
Meas. Pts.,Time,Shear Stress,Strain,Creep Compliance,Torque
,[s],[Pa],[1],[1/Pa],[µNm]
1,0.5,0.1,0.00744,0.0744,2.45
2,1.03,0.1,0.00991,0.0991,2.45
3,1.6,0.1,0.0113,0.113,2.45
4,2.2,0.1,0.0124,0.124,2.45
5,2.84,0.1,0.0133,0.133,2.45
6,3.52,0.1,0.014,0.14,2.45
7,4.24,0.1,0.0147,0.147,2.45
8,5,0.1,0.0154,0.154,2.45
9,5.82,0.1,0.0161,0.161,2.45
10,6.69,0.1,0.0167,0.167,2.45
11,7.61,0.1,0.0173,0.173,2.45
12,8.59,0.1,0.018,0.18,2.45
13,9.63,0.1,0.0186,0.186,2.45
14,10.7,0.1,0.0193,0.193,2.45
15,11.9,0.1,0.0199,0.199,2.45
16,13.2,0.1,0.0206,0.206,2.45
17,14.5,0.1,0.0213,0.213,2.45
18,15.9,0.1,0.0219,0.219,2.45
19,17.4,0.1,0.0226,0.226,2.45
20,19,0.1,0.0232,0.232,2.45
21,20.7,0.1,0.024,0.24,2.45
22,22.5,0.1,0.0247,0.247,2.45
23,24.4,0.1,0.0254,0.254,2.45
24,26.5,0.1,0.0261,0.261,2.45
25,28.6,0.1,0.0269,0.269,2.45
26,30.9,0.1,0.0276,0.276,2.45
27,33.4,0.1,0.0284,0.284,2.45
28,36,0.1,0.0292,0.292,2.45
29,38.8,0.1,0.03,0.3,2.45
30,41.7,0.1,0.0308,0.308,2.45
31,44.8,0.1,0.0317,0.317,2.45
32,48.2,0.1,0.0325,0.325,2.45
33,51.7,0.1,0.0334,0.334,2.45
34,55.5,0.1,0.0343,0.343,2.45
35,59.5,0.1,0.0352,0.352,2.45
36,63.7,0.1,0.0362,0.362,2.45
37,68.2,0.1,0.0371,0.371,2.45
38,73,0.1,0.0381,0.381,2.45
39,78.1,0.1,0.0391,0.391,2.45
40,83.6,0.1,0.0401,0.401,2.45
41,89.3,0.1,0.0412,0.412,2.45
42,95.5,0.1,0.0423,0.423,2.45
43,102,0.1,0.0434,0.434,2.45
44,109,0.1,0.0445,0.445,2.45
45,116,0.1,0.0457,0.457,2.45
46,124,0.1,0.0469,0.469,2.45
47,132,0.1,0.0481,0.481,2.45
48,141,0.1,0.0493,0.493,2.45
49,151,0.1,0.0505,0.505,2.45
50,161,0.1,0.0518,0.518,2.45
1,161,0,0.047,0,0
2,162,0,0.0454,0,0
3,162,0,0.0445,0,0
4,163,0,0.044,0,0
5,164,0,0.0435,0,0
6,164,0,0.0432,0,0
7,165,0,0.0428,0,0
8,166,0,0.0425,0,0
9,167,0,0.0423,0,0
10,167,0,0.042,0,0
11,168,0,0.0418,0,0
12,169,0,0.0415,0,0
13,170,0,0.0413,0,0
14,171,0,0.0411,0,0
15,173,0,0.0409,0,0
16,174,0,0.0407,0,0
17,175,0,0.0405,0,0
18,177,0,0.0403,0,0
19,178,0,0.0401,0,0
20,180,0,0.0399,0,0
21,181,0,0.0398,0,0
22,183,0,0.0397,0,0
23,185,0,0.0395,0,0
24,187,0,0.0393,0,0
25,189,0,0.0392,0,0
26,192,0,0.039,0,0
27,194,0,0.0389,0,0
28,197,0,0.0388,0,0
29,199,0,0.0387,0,0
30,202,0,0.0386,0,0
31,206,0,0.0384,0,0
32,209,0,0.0384,0,0
33,212,0,0.0382,0,0
34,216,0,0.0382,0,0
35,220,0,0.0381,0,0
36,224,0,0.038,0,0
37,229,0,0.0379,0,0
38,234,0,0.0379,0,0
39,239,0,0.0379,0,0
40,244,0,0.0378,0,0
41,250,0,0.0378,0,0
42,256,0,0.0378,0,0
43,263,0,0.0377,0,0
44,270,0,0.0378,0,0
45,277,0,0.0377,0,0
46,285,0,0.0377,0,0
47,293,0,0.0378,0,0
48,302,0,0.0378,0,0
49,311,0,0.0378,0,0
50,321,0,0.0379,0,0
