Data Series Information,,,,,,,,
Name:,,,gelan0.5%Frekvencna_20°C 1,,,,,
,,,,,,,,
Meas. Pts.,Angular Frequency,Storage Modulus,Loss Modulus,Damping Factor,Complex Viscosity,Deflection Angle,Torque,Status
,[rad/s],[Pa],[Pa],[1],[Pa·s],[mrad],[µNm],[]
1,100,8.40E+00,9.96E+00,1.19,1.30E-01,4.00E-01,3.19E+00,DSO
2,63.1,7.98E+00,8.69E+00,1.09,1.87E-01,4.01E-01,2.89E+00,DSO
3,39.8,6.43E+00,7.42E+00,1.15,2.47E-01,4.01E-01,2.40E+00,DSO
4,25.1,5.08E+00,6.12E+00,1.21,3.17E-01,4.00E-01,1.94E+00,DSO
5,15.8,3.78E+00,4.96E+00,1.31,3.94E-01,4.00E-01,1.53E+00,DSO
6,10,2.69E+00,3.94E+00,1.46,4.77E-01,4.00E-01,1.17E+00,DSO
7,6.31,1.85E+00,3.05E+00,1.65,5.66E-01,4.00E-01,8.73E-01,DSO
8,3.98,1.23E+00,2.31E+00,1.88,6.59E-01,4.00E-01,6.41E-01,DSO
9,2.51,7.98E-01,1.71E+00,2.14,7.52E-01,4.00E-01,4.62E-01,DSO
10,1.58,5.20E-01,1.23E+00,2.37,8.43E-01,4.00E-01,3.27E-01,DSO
11,1,3.36E-01,8.72E-01,2.59,9.34E-01,4.00E-01,2.29E-01,DSO
12,0.631,2.22E-01,6.06E-01,2.74,1.02E+00,4.00E-01,1.58E-01,DSO
13,0.398,1.51E-01,4.19E-01,2.78,1.12E+00,4.00E-01,1.09E-01,DSO
14,0.251,1.11E-01,2.85E-01,2.58,1.22E+00,4.00E-01,7.48E-02,DSO
