Data Series Information,,,,,,,,
Name:,,,gelan1%Frekvencna_20°C 1,,,,,
,,,,,,,,
Meas. Pts.,Angular Frequency,Storage Modulus,Loss Modulus,Damping Factor,Complex Viscosity,Deflection Angle,Torque,Status
,[rad/s],[Pa],[Pa],[1],[Pa·s],[mrad],[µNm],[]
1,100,6.89E+01,4.35E+01,0.631,8.14E-01,4.00E-01,1.99E+01,DSO
2,63.1,6.59E+01,3.78E+01,0.574,1.20E+00,4.01E-01,1.86E+01,DSO
3,39.8,5.98E+01,3.26E+01,0.545,1.71E+00,4.00E-01,1.67E+01,DSO
4,25.1,5.33E+01,2.82E+01,0.528,2.40E+00,4.00E-01,1.47E+01,DSO
5,15.8,4.69E+01,2.43E+01,0.518,3.34E+00,4.00E-01,1.29E+01,DSO
6,10,4.12E+01,2.10E+01,0.511,4.62E+00,4.00E-01,1.13E+01,DSO
7,6.31,3.61E+01,1.82E+01,0.504,6.40E+00,4.00E-01,9.88E+00,DSO
8,3.98,3.16E+01,1.57E+01,0.498,8.88E+00,4.00E-01,8.64E+00,DSO
9,2.51,2.78E+01,1.36E+01,0.49,1.23E+01,4.00E-01,7.57E+00,DSO
10,1.58,2.45E+01,1.18E+01,0.483,1.71E+01,4.00E-01,6.65E+00,DSO
11,1,2.16E+01,1.03E+01,0.474,2.39E+01,4.00E-01,5.86E+00,DSO
12,0.631,1.92E+01,8.92E+00,0.465,3.35E+01,4.00E-01,5.17E+00,DSO
13,0.398,1.71E+01,7.78E+00,0.456,4.71E+01,4.00E-01,4.59E+00,DSO
14,0.251,1.53E+01,6.83E+00,0.447,6.67E+01,4.00E-01,4.10E+00,DSO
