Data Series Information,,,,,,,,
Name:,,,X1%Frekvencna_30°C 1,,,,,
,,,,,,,,
Meas. Pts.,Angular Frequency,Storage Modulus,Loss Modulus,Damping Factor,Complex Viscosity,Deflection Angle,Torque,Status
,[rad/s],[Pa],[Pa],[1],[Pa·s],[mrad],[µNm],[]
1,100,3.67E+01,1.57E+01,0.427,3.99E-01,4.00E-01,9.75E+00,DSO
2,63.1,3.66E+01,1.34E+01,0.367,6.18E-01,4.01E-01,9.55E+00,DSO
3,39.8,3.46E+01,1.18E+01,0.34,9.19E-01,3.99E-01,8.93E+00,DSO
4,25.1,3.28E+01,1.04E+01,0.317,1.37E+00,4.00E-01,8.41E+00,DSO
5,15.8,3.06E+01,9.36E+00,0.306,2.02E+00,4.00E-01,7.82E+00,DSO
6,10,2.84E+01,8.54E+00,0.301,2.96E+00,4.00E-01,7.25E+00,DSO
7,6.31,2.63E+01,7.86E+00,0.299,4.34E+00,4.00E-01,6.70E+00,DSO
8,3.98,2.43E+01,7.29E+00,0.3,6.36E+00,4.00E-01,6.20E+00,DSO
9,2.51,2.24E+01,6.80E+00,0.304,9.32E+00,4.00E-01,5.73E+00,DSO
10,1.58,2.07E+01,6.38E+00,0.309,1.36E+01,4.00E-01,5.29E+00,DSO
11,1,1.90E+01,6.00E+00,0.315,2.00E+01,4.00E-01,4.88E+00,DSO
12,0.631,1.75E+01,5.67E+00,0.324,2.92E+01,4.00E-01,4.50E+00,DSO
13,0.398,1.61E+01,5.37E+00,0.333,4.27E+01,4.00E-01,4.16E+00,DSO
14,0.251,1.49E+01,5.10E+00,0.343,6.26E+01,4.00E-01,3.84E+00,DSO
