Data Series Information,,,,,
Name:,,,gelan 1 %_20°C rcr 1,,
,,,,,
Meas. Pts.,Time,Shear Stress,Strain,Creep Compliance,Torque
,[s],[Pa],[1],[1/Pa],[µNm]
1,0.2,0.3,0.0115,0.0385,7.34
2,0.502,0.3,0.0119,0.0397,7.34
3,0.956,0.3,0.0144,0.0479,7.34
4,1.64,0.3,0.0167,0.0558,7.34
5,2.67,0.3,0.0192,0.064,7.34
6,4.22,0.3,0.022,0.0732,7.34
7,6.56,0.3,0.0249,0.083,7.34
8,10.1,0.3,0.0282,0.094,7.34
9,15.4,0.3,0.0319,0.106,7.34
10,23.4,0.3,0.0359,0.12,7.34
1,23.6,0,0.0243,0,0
2,23.8,0,0.0251,0,0
3,24.1,0,0.0228,0,0
4,24.5,0,0.0212,0,0
5,24.9,0,0.0199,0,0
6,25.5,0,0.0186,0,0
7,26.1,0,0.0174,0,0
8,26.9,0,0.0162,0,0
9,27.8,0,0.0151,0,0
10,29,0,0.0141,0,0
11,30.4,0,0.013,0,0
12,32.1,0,0.0119,0,0
13,34.1,0,0.0109,0,0
14,36.6,0,0.00996,0,0
15,39.6,0,0.009,0,0
16,43.3,0,0.00809,0,0
17,47.8,0,0.00721,0,0
18,53.2,0,0.00636,0,0
19,59.8,0,0.00555,0,0
20,67.8,0,0.0048,0,0
1,68,0.3,0.0139,0.0465,7.34
2,68.3,0.3,0.0155,0.0515,7.34
3,68.8,0.3,0.0185,0.0616,7.34
4,69.4,0.3,0.0209,0.0696,7.34
5,70.5,0.3,0.0233,0.0776,7.34
6,72,0.3,0.0258,0.0861,7.34
7,74.4,0.3,0.0286,0.0954,7.34
8,77.9,0.3,0.0316,0.105,7.34
9,83.2,0.3,0.0348,0.116,7.34
10,91.2,0.3,0.0383,0.128,7.34
1,91.4,0,0.0299,0,0
2,91.6,0,0.029,0,0
3,91.9,0,0.0263,0,0
4,92.3,0,0.0249,0,0
5,92.7,0,0.0236,0,0
6,93.3,0,0.0223,0,0
7,93.9,0,0.021,0,0
8,94.7,0,0.0199,0,0
9,95.6,0,0.0188,0,0
10,96.8,0,0.0176,0,0
11,98.2,0,0.0166,0,0
12,99.9,0,0.0155,0,0
13,102,0,0.0145,0,0
14,104,0,0.0135,0,0
15,107,0,0.0125,0,0
16,111,0,0.0115,0,0
17,116,0,0.0106,0,0
18,121,0,0.00966,0,0
19,128,0,0.00878,0,0
20,136,0,0.00794,0,0
1,136,0.3,0.017,0.0565,7.34
2,136,0.3,0.0183,0.0611,7.34
3,137,0.3,0.0213,0.071,7.34
4,137,0.3,0.0237,0.0789,7.34
5,138,0.3,0.026,0.0868,7.34
6,140,0.3,0.0286,0.0952,7.34
7,142,0.3,0.0312,0.104,7.34
8,146,0.3,0.034,0.113,7.34
9,151,0.3,0.0371,0.124,7.34
10,159,0.3,0.0404,0.135,7.34
1,159,0,0.0321,0,0
2,159,0,0.0312,0,0
3,160,0,0.0285,0,0
4,160,0,0.0271,0,0
5,161,0,0.0258,0,0
6,161,0,0.0245,0,0
7,162,0,0.0233,0,0
8,162,0,0.0221,0,0
9,163,0,0.021,0,0
10,165,0,0.0199,0,0
11,166,0,0.0188,0,0
12,168,0,0.0178,0,0
13,170,0,0.0168,0,0
14,172,0,0.0158,0,0
15,175,0,0.0148,0,0
16,179,0,0.0138,0,0
17,183,0,0.0129,0,0
18,189,0,0.012,0,0
19,195,0,0.011,0,0
20,203,0,0.0102,0,0
1,204,0.3,0.0192,0.0639,7.34
2,204,0.3,0.0205,0.0683,7.34
3,204,0.3,0.0234,0.0781,7.34
4,205,0.3,0.0258,0.0859,7.34
5,206,0.3,0.0281,0.0937,7.34
6,208,0.3,0.0306,0.102,7.34
7,210,0.3,0.0331,0.11,7.34
8,213,0.3,0.0358,0.119,7.34
9,219,0.3,0.0388,0.129,7.34
10,227,0.3,0.042,0.14,7.34
1,227,0,0.0337,0,0
2,227,0,0.0328,0,0
3,228,0,0.0302,0,0
4,228,0,0.0288,0,0
5,228,0,0.0275,0,0
6,229,0,0.0262,0,0
7,229,0,0.025,0,0
8,230,0,0.0239,0,0
9,231,0,0.0228,0,0
10,232,0,0.0217,0,0
11,234,0,0.0206,0,0
12,235,0,0.0196,0,0
13,238,0,0.0186,0,0
14,240,0,0.0176,0,0
15,243,0,0.0166,0,0
16,247,0,0.0156,0,0
17,251,0,0.0147,0,0
18,257,0,0.0138,0,0
19,263,0,0.0129,0,0
20,271,0,0.012,0,0
