Data Series Information,,,,,
Name:,,,X1 %_20°C rcr 1,,
Meas. Pts.,Time,Shear Stress,Strain,Creep Compliance,Torque
,[s],[Pa],[1],[1/Pa],[µNm]
1,0.2,0.1,0.00616,0.0616,2.45
2,0.502,0.1,0.00451,0.0451,2.45
3,0.956,0.1,0.00629,0.0629,2.45
4,1.64,0.1,0.0072,0.072,2.45
5,2.67,0.1,0.00804,0.0804,2.45
6,4.22,0.1,0.00892,0.0892,2.45
7,6.56,0.1,0.00989,0.0989,2.45
8,10.1,0.1,0.011,0.11,2.45
9,15.4,0.1,0.0123,0.123,2.45
10,23.4,0.1,0.0138,0.138,2.45
1,23.6,0,0.00767,0,0
2,23.8,0,0.00887,0,0
3,24.1,0,0.00716,0,0
4,24.5,0,0.00764,0,0
5,24.9,0,0.00708,0,0
6,25.5,0,0.0066,0,0
7,26.1,0,0.00623,0,0
8,26.9,0,0.00586,0,0
9,27.8,0,0.00554,0,0
10,29,0,0.00525,0,0
11,30.4,0,0.00493,0,0
12,32.1,0,0.00466,0,0
13,34.1,0,0.00437,0,0
14,36.6,0,0.00413,0,0
15,39.6,0,0.00388,0,0
16,43.3,0,0.00365,0,0
17,47.8,0,0.00343,0,0
18,53.2,0,0.00323,0,0
19,59.8,0,0.00307,0,0
20,67.8,0,0.00293,0,0
1,68,0.1,0.00721,0.0721,2.45
2,68.3,0.1,0.00828,0.0828,2.45
3,68.8,0.1,0.00958,0.0958,2.45
4,69.4,0.1,0.0099,0.099,2.45
5,70.5,0.1,0.0107,0.107,2.45
6,72,0.1,0.0115,0.115,2.45
7,74.4,0.1,0.0124,0.124,2.45
8,77.9,0.1,0.0134,0.134,2.45
9,83.2,0.1,0.0145,0.145,2.45
10,91.2,0.1,0.0159,0.159,2.45
1,91.4,0,0.012,0,0
2,91.6,0,0.0102,0,0
3,91.9,0,0.0103,0,0
4,92.3,0,0.0101,0,0
5,92.7,0,0.00939,0,0
6,93.3,0,0.00903,0,0
7,93.9,0,0.00869,0,0
8,94.7,0,0.00833,0,0
9,95.6,0,0.008,0,0
10,96.8,0,0.00768,0,0
11,98.2,0,0.00736,0,0
12,99.9,0,0.00705,0,0
13,102,0,0.00676,0,0
14,104,0,0.00649,0,0
15,107,0,0.00621,0,0
16,111,0,0.00595,0,0
17,116,0,0.00571,0,0
18,121,0,0.00548,0,0
19,128,0,0.00528,0,0
20,136,0,0.00508,0,0
