Data Series Information,,,,,,,,
Name:,,,gelan 1% 30 C 1,,,,,
,,,,,,,,
Meas. Pts.,Strain,Shear Stress,Storage Modulus,Loss Modulus,Damping Factor,Deflection Angle,Torque,Status
,[%],[Pa],[Pa],[Pa],[1],[mrad],[µNm],[]
1,0.01,9.03E-03,8.70E+01,2.46E+01,0.283,0.004,0.221,DSO
2,0.0158,1.44E-02,8.74E+01,2.50E+01,0.286,0.00635,0.352,DSO
3,0.0251,2.28E-02,8.74E+01,2.48E+01,0.284,0.0101,0.558,DSO
4,0.0398,3.61E-02,8.74E+01,2.46E+01,0.281,0.0159,0.883,DSO
5,0.0631,5.72E-02,8.73E+01,2.47E+01,0.283,0.0253,1.4,DSO
6,0.1,9.06E-02,8.73E+01,2.46E+01,0.282,0.04,2.22,DSO
7,0.158,1.44E-01,8.73E+01,2.46E+01,0.282,0.0635,3.51,DSO
8,0.251,2.28E-01,8.72E+01,2.46E+01,0.282,0.101,5.57,DSO
9,0.398,3.61E-01,8.72E+01,2.46E+01,0.282,0.159,8.83,DSO
10,0.631,5.72E-01,8.73E+01,2.46E+01,0.282,0.253,14,DSO
11,1,9.06E-01,8.73E+01,2.46E+01,0.282,0.4,22.2,DSO
12,1.58,1.44E+00,8.73E+01,2.47E+01,0.282,0.635,35.2,DSO
13,2.51,2.28E+00,8.73E+01,2.47E+01,0.283,1.01,55.7,DSO
14,3.98,3.60E+00,8.70E+01,2.46E+01,0.283,1.59,88.1,DSO
15,6.31,5.67E+00,8.65E+01,2.46E+01,0.284,2.53,139,DSO
16,10,8.89E+00,8.55E+01,2.45E+01,0.287,4,217,DSO
17,15.8,1.37E+01,8.33E+01,2.44E+01,0.294,6.35,336,DSO
18,25.1,2.08E+01,7.90E+01,2.45E+01,0.31,10.1,508,DSO
19,39.8,3.01E+01,7.14E+01,2.48E+01,0.347,15.9,736,DSO
20,63.1,4.10E+01,5.99E+01,2.51E+01,0.419,25.3,"1,000",DSO
21,100,5.14E+01,4.52E+01,2.46E+01,0.543,40.1,"1,260",DSO
