Data Series Information,,,,,,,,
Name:,,,ksantan 1% 30 C 1,,,,,
,,,,,,,,
Meas. Pts.,Strain,Shear Stress,Storage Modulus,Loss Modulus,Damping Factor,Deflection Angle,Torque,Status
,[%],[Pa],[Pa],[Pa],[1],[mrad],[µNm],[]
1,0.01,2.54E-03,2.42E+01,7.84E+00,0.324,0.004,0.0621,DSO
2,0.0158,4.19E-03,2.51E+01,8.34E+00,0.333,0.00634,0.102,DSO
3,0.0251,6.67E-03,2.53E+01,8.18E+00,0.324,0.0101,0.163,DSO
4,0.0398,1.06E-02,2.55E+01,7.98E+00,0.313,0.0159,0.26,DSO
5,0.0631,1.70E-02,2.58E+01,8.07E+00,0.313,0.0253,0.417,DSO
6,0.1,2.71E-02,2.59E+01,8.10E+00,0.313,0.04,0.664,DSO
7,0.158,4.32E-02,2.60E+01,8.12E+00,0.312,0.0635,1.06,DSO
8,0.251,6.88E-02,2.61E+01,8.15E+00,0.312,0.101,1.68,DSO
9,0.398,1.10E-01,2.63E+01,8.15E+00,0.31,0.159,2.68,DSO
10,0.631,1.74E-01,2.64E+01,8.16E+00,0.309,0.253,4.26,DSO
11,1,2.77E-01,2.65E+01,8.17E+00,0.308,0.4,6.78,DSO
12,1.58,4.41E-01,2.66E+01,8.17E+00,0.308,0.635,10.8,DSO
13,2.51,7.00E-01,2.67E+01,8.19E+00,0.307,1.01,17.1,DSO
14,3.98,1.11E+00,2.67E+01,8.21E+00,0.307,1.59,27.2,DSO
15,6.31,1.76E+00,2.67E+01,8.23E+00,0.308,2.53,43.2,DSO
16,10,2.79E+00,2.66E+01,8.24E+00,0.309,4,68.2,DSO
17,15.8,4.37E+00,2.63E+01,8.28E+00,0.314,6.35,107,DSO
18,25.1,6.74E+00,2.55E+01,8.35E+00,0.327,10.1,165,DSO
19,39.8,9.96E+00,2.35E+01,8.59E+00,0.365,15.9,244,DSO
20,63.1,1.32E+01,1.85E+01,9.61E+00,0.519,25.3,322,DSO
21,100,1.55E+01,1.22E+01,9.60E+00,0.788,40.1,379,DSO
