Data Series Information,,,,,
Name:,,,Xantan 1% 20°C creep recovery 1,,
,,,,,
Meas. Pts.,Time,Shear Stress,Strain,Creep Compliance,Torque
,[s],[Pa],[1],[1/Pa],[µNm]
1,0.5,0.1,0.0062,0.062,2.45
2,1.03,0.1,0.00835,0.0835,2.45
3,1.6,0.1,0.0095,0.095,2.45
4,2.2,0.1,0.0104,0.104,2.45
5,2.84,0.1,0.011,0.11,2.45
6,3.52,0.1,0.0117,0.117,2.45
7,4.24,0.1,0.0122,0.122,2.45
8,5,0.1,0.0127,0.127,2.45
9,5.82,0.1,0.0132,0.132,2.45
10,6.69,0.1,0.0137,0.137,2.45
11,7.61,0.1,0.0142,0.142,2.45
12,8.59,0.1,0.0146,0.146,2.45
13,9.63,0.1,0.0151,0.151,2.45
14,10.7,0.1,0.0156,0.156,2.45
15,11.9,0.1,0.016,0.16,2.45
16,13.2,0.1,0.0165,0.165,2.45
17,14.5,0.1,0.017,0.17,2.45
18,15.9,0.1,0.0174,0.174,2.45
19,17.4,0.1,0.0179,0.179,2.45
20,19,0.1,0.0184,0.184,2.45
21,20.7,0.1,0.0188,0.188,2.45
22,22.5,0.1,0.0193,0.193,2.45
23,24.4,0.1,0.0198,0.198,2.45
24,26.5,0.1,0.0203,0.203,2.45
25,28.6,0.1,0.0208,0.208,2.45
26,30.9,0.1,0.0213,0.213,2.45
27,33.4,0.1,0.0219,0.219,2.45
28,36,0.1,0.0224,0.224,2.45
29,38.8,0.1,0.0229,0.229,2.45
30,41.7,0.1,0.0235,0.235,2.45
31,44.8,0.1,0.0241,0.241,2.45
32,48.2,0.1,0.0247,0.247,2.45
33,51.7,0.1,0.0253,0.253,2.45
34,55.5,0.1,0.0258,0.259,2.45
35,59.5,0.1,0.0265,0.265,2.45
36,63.7,0.1,0.0271,0.271,2.45
37,68.2,0.1,0.0278,0.278,2.45
38,73,0.1,0.0285,0.285,2.45
39,78.1,0.1,0.0292,0.292,2.45
40,83.6,0.1,0.0299,0.299,2.45
41,89.3,0.1,0.0306,0.306,2.45
42,95.5,0.1,0.0314,0.314,2.45
43,102,0.1,0.0321,0.321,2.45
44,109,0.1,0.0329,0.329,2.45
45,116,0.1,0.0337,0.337,2.45
46,124,0.1,0.0345,0.345,2.45
47,132,0.1,0.0353,0.353,2.45
48,141,0.1,0.0362,0.362,2.45
49,151,0.1,0.0371,0.371,2.45
50,161,0.1,0.0379,0.379,2.45
1,161,0,0.0331,0,0
2,162,0,0.0315,0,0
3,162,0,0.0307,0,0
4,163,0,0.0301,0,0
5,163,0,0.0297,0,0
6,164,0,0.0293,0,0
7,165,0,0.029,0,0
8,165,0,0.0287,0,0
9,166,0,0.0284,0,0
10,166,0,0.0282,0,0
11,167,0,0.028,0,0
12,168,0,0.0278,0,0
13,169,0,0.0276,0,0
14,169,0,0.0274,0,0
15,170,0,0.0272,0,0
16,171,0,0.027,0,0
17,172,0,0.0269,0,0
18,172,0,0.0267,0,0
19,173,0,0.0266,0,0
20,174,0,0.0264,0,0
21,175,0,0.0262,0,0
22,176,0,0.0261,0,0
23,177,0,0.0259,0,0
24,178,0,0.0258,0,0
25,179,0,0.0257,0,0
26,180,0,0.0256,0,0
27,181,0,0.0254,0,0
28,182,0,0.0253,0,0
29,184,0,0.0252,0,0
30,185,0,0.025,0,0
31,186,0,0.0249,0,0
32,187,0,0.0248,0,0
33,189,0,0.0247,0,0
34,190,0,0.0246,0,0
35,191,0,0.0245,0,0
36,193,0,0.0244,0,0
37,194,0,0.0243,0,0
38,196,0,0.0242,0,0
39,197,0,0.024,0,0
40,199,0,0.0239,0,0
41,201,0,0.0239,0,0
42,202,0,0.0238,0,0
43,204,0,0.0237,0,0
44,206,0,0.0236,0,0
45,208,0,0.0235,0,0
46,210,0,0.0234,0,0
47,212,0,0.0233,0,0
48,214,0,0.0232,0,0
49,216,0,0.0231,0,0
50,218,0,0.023,0,0
51,221,0,0.023,0,0
52,223,0,0.0229,0,0
53,225,0,0.0228,0,0
54,228,0,0.0227,0,0
55,230,0,0.0226,0,0
56,233,0,0.0226,0,0
57,236,0,0.0225,0,0
58,239,0,0.0224,0,0
59,241,0,0.0224,0,0
60,244,0,0.0223,0,0
61,247,0,0.0222,0,0
62,251,0,0.0222,0,0
63,254,0,0.0221,0,0
64,257,0,0.022,0,0
65,261,0,0.022,0,0
66,264,0,0.0219,0,0
67,268,0,0.0219,0,0
68,272,0,0.0218,0,0
69,276,0,0.0218,0,0
70,280,0,0.0217,0,0
71,284,0,0.0217,0,0
72,288,0,0.0216,0,0
73,293,0,0.0216,0,0
74,297,0,0.0215,0,0
75,302,0,0.0215,0,0
76,307,0,0.0214,0,0
77,312,0,0.0214,0,0
78,317,0,0.0213,0,0
79,322,0,0.0213,0,0
80,328,0,0.0213,0,0
81,333,0,0.0212,0,0
82,339,0,0.0212,0,0
83,345,0,0.0212,0,0
84,351,0,0.0211,0,0
85,358,0,0.0211,0,0
86,364,0,0.0211,0,0
87,371,0,0.0211,0,0
88,378,0,0.021,0,0
89,385,0,0.021,0,0
90,392,0,0.021,0,0
91,400,0,0.021,0,0
92,408,0,0.021,0,0
93,416,0,0.021,0,0
94,424,0,0.0209,0,0
95,433,0,0.021,0,0
96,442,0,0.0209,0,0
97,451,0,0.0209,0,0
98,460,0,0.0209,0,0
99,470,0,0.0209,0,0
100,480,0,0.0209,0,0
