Data Series Information,,,,,,,,
Name:,,,gelan 0.7% 20°C 1,,,,,
,,,,,,,,
Meas. Pts.,Angular Frequency,Storage Modulus,Loss Modulus,Damping Factor,Complex Viscosity,Deflection Angle,Torque,Status
,[rad/s],[Pa],[Pa],[1],[Pa·s],[mrad],[µNm],[]
1,100,1.36E+01,1.61E+01,1.18,2.10E-01,4.00E-01,5.15E+00,DSO
2,63.1,1.18E+01,1.29E+01,1.09,2.77E-01,4.01E-01,4.28E+00,DSO
3,39.8,9.75E+00,1.05E+01,1.08,3.60E-01,4.01E-01,3.51E+00,DSO
4,25.1,8.05E+00,8.33E+00,1.04,4.61E-01,4.00E-01,2.83E+00,DSO
5,15.8,6.54E+00,6.60E+00,1.01,5.86E-01,4.00E-01,2.27E+00,DSO
6,10,5.30E+00,5.22E+00,0.985,7.44E-01,4.00E-01,1.82E+00,DSO
7,6.31,4.31E+00,4.12E+00,0.957,9.45E-01,4.00E-01,1.46E+00,DSO
8,3.98,3.50E+00,3.26E+00,0.933,1.20E+00,4.00E-01,1.17E+00,DSO
9,2.51,2.87E+00,2.59E+00,0.901,1.54E+00,4.00E-01,9.45E-01,DSO
10,1.58,2.37E+00,2.05E+00,0.866,1.98E+00,4.00E-01,7.68E-01,DSO
11,1,1.98E+00,1.64E+00,0.831,2.57E+00,4.00E-01,6.29E-01,DSO
12,0.631,1.66E+00,1.32E+00,0.795,3.37E+00,4.00E-01,5.19E-01,DSO
13,0.398,1.42E+00,1.07E+00,0.752,4.46E+00,4.00E-01,4.34E-01,DSO
14,0.251,1.23E+00,8.74E-01,0.712,6.00E+00,4.00E-01,3.69E-01,DSO
15,0.158,1.08E+00,7.24E-01,0.667,8.23E+00,4.00E-01,3.19E-01,DSO
16,0.1,9.82E-01,6.09E-01,0.62,1.16E+01,4.00E-01,2.83E-01,DSO
