Data Series Information,,,,,,,,
Name:,,,gelan 1% 20°C 1,,,,,
,,,,,,,,
Meas. Pts.,Angular Frequency,Storage Modulus,Loss Modulus,Damping Factor,Complex Viscosity,Deflection Angle,Torque,Status
,[rad/s],[Pa],[Pa],[1],[Pa·s],[mrad],[µNm],[]
1,100,1.28E+02,4.07E+01,0.319,1.34E+00,4.00E-01,3.27E+01,DSO
2,63.1,1.18E+02,3.65E+01,0.309,1.96E+00,4.00E-01,3.03E+01,DSO
3,39.8,1.09E+02,3.28E+01,0.3,2.86E+00,4.00E-01,2.79E+01,DSO
4,25.1,1.01E+02,2.95E+01,0.292,4.19E+00,4.00E-01,2.57E+01,DSO
5,15.8,9.33E+01,2.67E+01,0.287,6.12E+00,4.00E-01,2.37E+01,DSO
6,10,8.62E+01,2.43E+01,0.282,8.96E+00,4.00E-01,2.19E+01,DSO
7,6.31,7.98E+01,2.22E+01,0.279,1.31E+01,4.00E-01,2.03E+01,DSO
8,3.98,7.39E+01,2.04E+01,0.276,1.92E+01,4.00E-01,1.87E+01,DSO
9,2.51,6.84E+01,1.87E+01,0.274,2.82E+01,4.00E-01,1.73E+01,DSO
10,1.58,6.33E+01,1.72E+01,0.272,4.14E+01,4.00E-01,1.61E+01,DSO
11,1,5.87E+01,1.59E+01,0.271,6.08E+01,4.00E-01,1.49E+01,DSO
12,0.631,5.44E+01,1.47E+01,0.269,8.93E+01,4.00E-01,1.38E+01,DSO
13,0.398,5.05E+01,1.36E+01,0.268,1.31E+02,4.00E-01,1.28E+01,DSO
14,0.251,4.69E+01,1.26E+01,0.268,1.93E+02,4.00E-01,1.19E+01,DSO
15,0.158,4.36E+01,1.16E+01,0.267,2.85E+02,4.00E-01,1.10E+01,DSO
16,0.1,4.06E+01,1.09E+01,0.268,4.20E+02,4.00E-01,1.03E+01,DSO
