Data Series Information,,,,,,,,
Name:,,,Xantan 1% 30°C 1,,,,,
,,,,,,,,
Meas. Pts.,Angular Frequency,Storage Modulus,Loss Modulus,Damping Factor,Complex Viscosity,Deflection Angle,Torque,Status
,[rad/s],[Pa],[Pa],[1],[Pa·s],[mrad],[µNm],[]
1,100,4.17E+01,1.49E+01,0.358,4.43E-01,4.00E-01,1.08E+01,DSO
2,63.1,3.83E+01,1.30E+01,0.338,6.41E-01,4.01E-01,9.90E+00,DSO
3,39.8,3.49E+01,1.15E+01,0.328,9.24E-01,3.99E-01,8.96E+00,DSO
4,25.1,3.25E+01,1.01E+01,0.312,1.36E+00,4.00E-01,8.33E+00,DSO
5,15.8,3.01E+01,9.14E+00,0.304,1.98E+00,4.00E-01,7.69E+00,DSO
6,10,2.78E+01,8.32E+00,0.299,2.90E+00,4.00E-01,7.10E+00,DSO
7,6.31,2.56E+01,7.65E+00,0.298,4.24E+00,4.00E-01,6.55E+00,DSO
8,3.98,2.36E+01,7.07E+00,0.299,6.20E+00,4.00E-01,6.04E+00,DSO
9,2.51,2.18E+01,6.58E+00,0.302,9.06E+00,4.00E-01,5.57E+00,DSO
10,1.58,2.01E+01,6.14E+00,0.306,1.32E+01,4.00E-01,5.13E+00,DSO
11,1,1.84E+01,5.75E+00,0.312,1.93E+01,4.00E-01,4.72E+00,DSO
12,0.631,1.69E+01,5.40E+00,0.319,2.82E+01,4.00E-01,4.35E+00,DSO
13,0.398,1.55E+01,5.09E+00,0.328,4.10E+01,4.00E-01,4.00E+00,DSO
14,0.251,1.43E+01,4.81E+00,0.337,5.99E+01,4.00E-01,3.68E+00,DSO
15,0.158,1.31E+01,4.56E+00,0.347,8.76E+01,4.00E-01,3.40E+00,DSO
16,0.1,1.21E+01,4.33E+00,0.358,1.28E+02,4.00E-01,3.14E+00,DSO
