Data Series Information,,,,,
Name:,,,gelan 0.7 %_20°C rcr 2,,
Meas. Pts.,Time,Shear Stress,Strain,Creep Compliance,Torque
,[s],[Pa],[1],[1/Pa],[µNm]
1,0.2,0.03,0.00255,0.085,0.734
2,0.502,0.03,0.00944,0.315,0.734
3,0.956,0.03,0.015,0.499,0.734
4,1.64,0.03,0.0202,0.673,0.734
5,2.67,0.03,0.0268,0.894,0.734
6,4.22,0.03,0.0349,1.16,0.734
7,6.56,0.03,0.0447,1.49,0.734
8,10.1,0.03,0.0566,1.89,0.734
9,15.4,0.03,0.0711,2.37,0.734
10,23.4,0.03,0.0886,2.95,0.734
1,23.6,0,0.0863,0,0
2,23.8,0,0.0807,0,0
3,24.1,0,0.0763,0,0
4,24.5,0,0.0736,0,0
5,24.9,0,0.0708,0,0
6,25.5,0,0.0678,0,0
7,26.1,0,0.0648,0,0
8,26.9,0,0.0616,0,0
9,27.8,0,0.0584,0,0
10,29,0,0.055,0,0
11,30.4,0,0.0516,0,0
12,32.1,0,0.048,0,0
13,34.1,0,0.0444,0,0
14,36.6,0,0.0407,0,0
15,39.6,0,0.0369,0,0
16,43.3,0,0.0331,0,0
17,47.8,0,0.029,0,0
18,53.2,0,0.025,0,0
19,59.8,0,0.021,0,0
20,67.8,0,0.017,0,0
1,68,0.03,0.0186,0.619,0.734
2,68.3,0.03,0.0252,0.839,0.734
3,68.8,0.03,0.0316,1.05,0.734
4,69.4,0.03,0.0367,1.22,0.734
5,70.5,0.03,0.0432,1.44,0.734
6,72,0.03,0.0508,1.69,0.734
7,74.4,0.03,0.0601,2,0.734
8,77.9,0.03,0.0712,2.37,0.734
9,83.2,0.03,0.0845,2.82,0.734
10,91.2,0.03,0.1,3.35,0.734
1,91.4,0,0.103,0,0
2,91.6,0,0.0977,0,0
3,91.9,0,0.0926,0,0
4,92.3,0,0.0896,0,0
5,92.7,0,0.0869,0,0
6,93.3,0,0.0839,0,0
7,93.9,0,0.0808,0,0
8,94.7,0,0.0777,0,0
9,95.6,0,0.0744,0,0
10,96.8,0,0.071,0,0
11,98.2,0,0.0675,0,0
12,99.9,0,0.0638,0,0
13,102,0,0.06,0,0
14,104,0,0.0561,0,0
15,107,0,0.0521,0,0
16,111,0,0.048,0,0
17,116,0,0.0439,0,0
18,121,0,0.0397,0,0
19,128,0,0.0354,0,0
20,136,0,0.031,0,0
1,136,0.03,0.0315,1.05,0.734
2,136,0.03,0.0382,1.27,0.734
3,137,0.03,0.0446,1.49,0.734
4,137,0.03,0.0496,1.65,0.734
5,138,0.03,0.056,1.87,0.734
6,140,0.03,0.0636,2.12,0.734
7,142,0.03,0.0726,2.42,0.734
8,146,0.03,0.0834,2.78,0.734
9,151,0.03,0.0964,3.21,0.734
10,159,0.03,0.112,3.73,0.734
1,159,0,0.114,0,0
2,159,0,0.109,0,0
3,160,0,0.104,0,0
4,160,0,0.101,0,0
5,161,0,0.0982,0,0
6,161,0,0.0951,0,0
7,162,0,0.092,0,0
8,162,0,0.0887,0,0
9,163,0,0.0854,0,0
10,165,0,0.082,0,0
11,166,0,0.0784,0,0
12,168,0,0.0748,0,0
13,170,0,0.071,0,0
14,172,0,0.067,0,0
15,175,0,0.0629,0,0
16,179,0,0.0587,0,0
17,183,0,0.0544,0,0
18,189,0,0.0501,0,0
19,195,0,0.0457,0,0
20,203,0,0.0413,0,0
1,204,0.03,0.0418,1.39,0.734
2,204,0.03,0.0483,1.61,0.734
3,204,0.03,0.0548,1.83,0.734
4,205,0.03,0.0598,1.99,0.734
5,206,0.03,0.0661,2.2,0.734
6,208,0.03,0.0736,2.45,0.734
7,210,0.03,0.0826,2.75,0.734
8,213,0.03,0.0933,3.11,0.734
9,219,0.03,0.106,3.53,0.734
10,227,0.03,0.121,4.03,0.734
1,227,0,0.123,0,0
2,227,0,0.118,0,0
3,228,0,0.113,0,0
4,228,0,0.11,0,0
5,228,0,0.107,0,0
6,229,0,0.104,0,0
7,229,0,0.101,0,0
8,230,0,0.0978,0,0
9,231,0,0.0945,0,0
10,232,0,0.091,0,0
11,234,0,0.0874,0,0
12,235,0,0.0836,0,0
13,238,0,0.0798,0,0
14,240,0,0.075,0,0
15,243,0,0.07,0,0
16,247,0,0.0651,0,0
17,251,0,0.0602,0,0
18,257,0,0.0551,0,0
19,263,0,0.05,0,0
20,271,0,0.0447,0,0
