Data Series Information,,,,,
Name:,,,gelan_1%_20° 1,,
Meas. Pts.,Time,Shear Stress,Strain,Creep Compliance,Torque
,[s],[Pa],[1],[1/Pa],[µNm]
1,0.2,0.3,0.00627,0.0209,7.34
2,0.502,0.3,0.00622,0.0207,7.34
3,0.956,0.3,0.00753,0.0251,7.34
4,1.64,0.3,0.00817,0.0272,7.34
5,2.67,0.3,0.00896,0.0299,7.34
6,4.22,0.3,0.00978,0.0326,7.34
7,6.56,0.3,0.0106,0.0355,7.34
8,10.1,0.3,0.0116,0.0388,7.34
9,15.4,0.3,0.0127,0.0424,7.34
10,23.4,0.3,0.014,0.0465,7.34
1,23.6,0,0.00935,0,0
2,23.8,0,0.00877,0,0
3,24.1,0,0.00872,0,0
4,24.5,0,0.00845,0,0
5,24.9,0,0.00808,0,0
6,25.5,0,0.00779,0,0
7,26.1,0,0.00754,0,0
8,26.9,0,0.00734,0,0
9,27.8,0,0.00709,0,0
10,29,0,0.00688,0,0
11,30.4,0,0.00667,0,0
12,32.1,0,0.00652,0,0
13,34.1,0,0.00624,0,0
14,36.6,0,0.00621,0,0
15,39.6,0,0.00607,0,0
16,43.3,0,0.00593,0,0
17,47.8,0,0.00583,0,0
18,53.2,0,0.00577,0,0
19,59.8,0,0.00572,0,0
20,67.8,0,0.00567,0,0
1,68,0.3,0.0103,0.0345,7.34
2,68.3,0.3,0.0103,0.0343,7.34
3,68.8,0.3,0.0113,0.0376,7.34
4,69.4,0.3,0.0117,0.0392,7.34
5,70.5,0.3,0.0123,0.0412,7.34
6,72,0.3,0.0129,0.0431,7.34
7,74.4,0.3,0.0136,0.0453,7.34
8,77.9,0.3,0.0143,0.0476,7.34
9,83.2,0.3,0.0151,0.0502,7.34
10,91.2,0.3,0.016,0.0533,7.34
1,91.4,0,0.0113,0,0
2,91.6,0,0.0108,0,0
3,91.9,0,0.0108,0,0
4,92.3,0,0.0105,0,0
5,92.7,0,0.0101,0,0
6,93.3,0,0.00985,0,0
7,93.9,0,0.00961,0,0
8,94.7,0,0.00936,0,0
9,95.6,0,0.00909,0,0
10,96.8,0,0.00887,0,0
11,98.2,0,0.00867,0,0
12,99.9,0,0.00846,0,0
13,102,0,0.00827,0,0
14,104,0,0.00798,0,0
15,107,0,0.00789,0,0
16,111,0,0.00773,0,0
17,116,0,0.00757,0,0
18,121,0,0.00745,0,0
19,128,0,0.00732,0,0
20,136,0,0.0072,0,0
1,136,0.3,0.0119,0.0395,7.34
2,136,0.3,0.0118,0.0394,7.34
3,137,0.3,0.0128,0.0425,7.34
4,137,0.3,0.0132,0.0441,7.34
5,138,0.3,0.0138,0.0459,7.34
6,140,0.3,0.0144,0.0478,7.34
7,142,0.3,0.015,0.0498,7.34
8,146,0.3,0.0156,0.052,7.34
9,151,0.3,0.0163,0.0544,7.34
10,159,0.3,0.0171,0.0572,7.34
1,159,0,0.0125,0,0
2,159,0,0.012,0,0
3,160,0,0.012,0,0
4,160,0,0.0117,0,0
5,161,0,0.0113,0,0
6,161,0,0.011,0,0
7,162,0,0.0108,0,0
8,162,0,0.0105,0,0
9,163,0,0.0103,0,0
10,165,0,0.0101,0,0
11,166,0,0.00985,0,0
12,168,0,0.00963,0,0
13,170,0,0.00943,0,0
14,172,0,0.00925,0,0
15,175,0,0.00906,0,0
16,179,0,0.00886,0,0
17,183,0,0.0087,0,0
18,189,0,0.00856,0,0
19,195,0,0.00841,0,0
20,203,0,0.00827,0,0
1,204,0.3,0.0129,0.043,7.34
2,204,0.3,0.0129,0.0428,7.34
3,204,0.3,0.0138,0.046,7.34
4,205,0.3,0.0143,0.0476,7.34
5,206,0.3,0.0148,0.0493,7.34
6,208,0.3,0.0154,0.0512,7.34
7,210,0.3,0.0159,0.0531,7.34
8,213,0.3,0.0166,0.0552,7.34
9,219,0.3,0.0172,0.0574,7.34
10,227,0.3,0.018,0.0599,7.34
1,227,0,0.0134,0,0
2,227,0,0.0129,0,0
3,228,0,0.0129,0,0
4,228,0,0.0125,0,0
5,228,0,0.0122,0,0
6,229,0,0.0119,0,0
7,229,0,0.0116,0,0
8,230,0,0.0114,0,0
9,231,0,0.0112,0,0
10,232,0,0.0109,0,0
11,234,0,0.0107,0,0
12,235,0,0.0105,0,0
13,238,0,0.0103,0,0
14,240,0,0.0101,0,0
15,243,0,0.00994,0,0
16,247,0,0.00975,0,0
17,251,0,0.00956,0,0
18,257,0,0.00941,0,0
19,263,0,0.00927,0,0
20,271,0,0.00912,0,0
