Data Series Information,,,,,
Name:,,,ksantan_1%_20° 1,,
  Shear Stress,,,"tau = 0,1 Pa",,
,,,,,
Meas. Pts.,Time,Shear Stress,Strain,Creep Compliance,Torque
,[s],[Pa],[1],[1/Pa],[µNm]
1,0.2,0.1,0.00611,0.0611,2.45
2,0.502,0.1,0.00436,0.0436,2.45
3,0.956,0.1,0.00607,0.0607,2.45
4,1.64,0.1,0.00699,0.0699,2.45
5,2.67,0.1,0.00779,0.0779,2.45
6,4.22,0.1,0.00862,0.0862,2.45
7,6.56,0.1,0.00949,0.0949,2.45
8,10.1,0.1,0.0105,0.105,2.45
9,15.4,0.1,0.0116,0.116,2.45
10,23.4,0.1,0.0128,0.128,2.45
1,23.6,0,0.00679,0,0
2,23.8,0,0.00803,0,0
3,24.1,0,0.00627,0,0
4,24.5,0,0.00682,0,0
5,24.9,0,0.00625,0,0
6,25.5,0,0.00579,0,0
7,26.1,0,0.00537,0,0
8,26.9,0,0.00506,0,0
9,27.8,0,0.00474,0,0
10,29,0,0.00444,0,0
11,30.4,0,0.00412,0,0
12,32.1,0,0.00375,0,0
13,34.1,0,0.00353,0,0
14,36.6,0,0.00328,0,0
15,39.6,0,0.00299,0,0
16,43.3,0,0.00278,0,0
17,47.8,0,0.00252,0,0
18,53.2,0,0.00241,0,0
19,59.8,0,0.00213,0,0
20,67.8,0,0.00195,0,0
1,68,0.1,0.00812,0.0812,2.45
2,68.3,0.1,0.00631,0.0631,2.45
3,68.8,0.1,0.00802,0.0802,2.45
4,69.4,0.1,0.00898,0.0898,2.45
5,70.5,0.1,0.00975,0.0975,2.45
6,72,0.1,0.0105,0.105,2.45
7,74.4,0.1,0.0114,0.114,2.45
8,77.9,0.1,0.0124,0.124,2.45
9,83.2,0.1,0.0133,0.133,2.45
10,91.2,0.1,0.0145,0.145,2.45
1,91.4,0,0.0084,0,0
2,91.6,0,0.00969,0,0
3,91.9,0,0.00793,0,0
4,92.3,0,0.00844,0,0
5,92.7,0,0.00787,0,0
6,93.3,0,0.00741,0,0
7,93.9,0,0.00701,0,0
8,94.7,0,0.00668,0,0
9,95.6,0,0.00634,0,0
10,96.8,0,0.00602,0,0
11,98.2,0,0.00572,0,0
12,99.9,0,0.00541,0,0
13,102,0,0.0051,0,0
14,104,0,0.00484,0,0
15,107,0,0.00456,0,0
16,111,0,0.00427,0,0
17,116,0,0.004,0,0
18,121,0,0.0038,0,0
19,128,0,0.00352,0,0
20,136,0,0.00332,0,0
1,136,0.1,0.00946,0.0946,2.45
2,136,0.1,0.00768,0.0768,2.45
3,137,0.1,0.00938,0.0938,2.45
4,137,0.1,0.0103,0.103,2.45
5,138,0.1,0.0111,0.111,2.45
6,140,0.1,0.0118,0.118,2.45
7,142,0.1,0.0126,0.126,2.45
8,146,0.1,0.0135,0.135,2.45
9,151,0.1,0.0145,0.145,2.45
10,159,0.1,0.0157,0.157,2.45
1,159,0,0.00959,0,0
2,159,0,0.0109,0,0
3,160,0,0.00913,0,0
4,160,0,0.00964,0,0
5,161,0,0.0091,0,0
6,161,0,0.00864,0,0
7,162,0,0.00823,0,0
8,162,0,0.00788,0,0
9,163,0,0.00754,0,0
10,165,0,0.00721,0,0
11,166,0,0.00692,0,0
12,168,0,0.00661,0,0
13,170,0,0.00628,0,0
14,172,0,0.00599,0,0
15,175,0,0.00572,0,0
16,179,0,0.00544,0,0
17,183,0,0.00516,0,0
18,189,0,0.00492,0,0
19,195,0,0.00466,0,0
20,203,0,0.00443,0,0
1,204,0.1,0.0106,0.106,2.45
2,204,0.1,0.00877,0.0877,2.45
3,204,0.1,0.0105,0.105,2.45
4,205,0.1,0.0114,0.114,2.45
5,206,0.1,0.0121,0.121,2.45
6,208,0.1,0.0128,0.128,2.45
7,210,0.1,0.0137,0.137,2.45
8,213,0.1,0.0146,0.146,2.45
9,219,0.1,0.0155,0.155,2.45
10,227,0.1,0.0166,0.166,2.45
1,227,0,0.0106,0,0
2,227,0,0.0119,0,0
3,228,0,0.0101,0,0
4,228,0,0.0106,0,0
5,228,0,0.0101,0,0
6,229,0,0.00963,0,0
7,229,0,0.00924,0,0
8,230,0,0.00892,0,0
9,231,0,0.00856,0,0
10,232,0,0.00824,0,0
11,234,0,0.00792,0,0
12,235,0,0.0076,0,0
13,238,0,0.00731,0,0
14,240,0,0.00701,0,0
15,243,0,0.00671,0,0
16,247,0,0.00643,0,0
17,251,0,0.00615,0,0
18,257,0,0.00594,0,0
19,263,0,0.00562,0,0
20,271,0,0.00539,0,0
